-15.9890579;-48.04383158;19
-15.98906745;-48.04370255;23
-15.98908526;-48.04413588;26
-15.98874187;-48.04426969;28
-15.98890463;-48.04381019;13
-15.98871408;-48.04406877;28
-15.98918221;-48.04430203;96
-15.98926802;-48.04387155;61
-15.98890417;-48.04421238;16
-15.98895928;-48.04424612;74
-15.98890015;-48.04410319;44
-15.9885724;-48.04424148;41
-15.98888286;-48.04437466;38
-15.98915511;-48.04419749;63
-15.98880611;-48.04422099;69
-15.98911728;-48.04409537;31
-15.98889031;-48.04372758;58
-15.98871478;-48.04371279;73
-15.98916493;-48.04418551;27
-15.98926647;-48.04385562;57
-15.98876168;-48.04439329;77
-15.9888403;-48.04418315;81
-15.98875736;-48.04391503;60
-15.98886362;-48.04421421;68
-15.98867022;-48.04377805;34
-15.98887405;-48.04396073;59
-15.98896608;-48.04396463;46
-15.98893153;-48.04369815;43
-15.9887883;-48.04433409;44
-15.9887168;-48.04378818;64
-15.98900701;-48.04418948;38
-15.98930295;-48.04373442;21
-15.98886678;-48.04384068;78
-15.98916362;-48.04445825;18
-15.98873295;-48.04392074;6
-15.98857624;-48.04394032;73
-15.98912665;-48.04403238;59
-15.98879386;-48.04366986;1
-15.98880655;-48.0443419;91
-15.98909649;-48.04361518;1
-15.98867506;-48.04430826;80
-15.98891738;-48.04404571;94
-15.98853561;-48.04407624;44
-15.98942308;-48.04409031;53
-15.98931446;-48.0440239;5
-15.98928044;-48.04407687;97
-15.98870726;-48.0441425;14
-15.98919394;-48.04414252;15
-15.98920325;-48.04409888;7
-15.98892673;-48.04406871;69
-15.98902952;-48.04359188;27
-15.98883923;-48.04361295;76
-15.98859768;-48.04391301;45
-15.98891773;-48.04446588;77
-15.98931372;-48.04413309;73
-15.98920727;-48.04388774;8
-15.98858521;-48.04393986;3
-15.98870683;-48.04388827;2
-15.98922968;-48.04441094;45
-15.98887913;-48.04442108;49
-15.98904681;-48.0439151;21
-15.98866607;-48.04408756;88
-15.98867981;-48.04429224;84
-15.98912901;-48.04389689;22
-15.98897144;-48.04443575;82
-15.98929107;-48.04391535;83
-15.98872464;-48.04429904;46
-15.98860158;-48.04386542;78
-15.98876802;-48.04371352;82
-15.98904138;-48.04420906;24
-15.98921102;-48.04381658;14
-15.98917567;-48.04369401;15
-15.98904148;-48.04442355;56
-15.98889125;-48.04447616;25
-15.98894272;-48.04367663;17
-15.9888605;-48.04407205;0
-15.98872457;-48.04370893;31
-15.98893077;-48.04371664;18
-15.98922595;-48.04437382;26
-15.98874717;-48.04394066;29
-15.989341;-48.0439414;58
-15.98881884;-48.04432405;16
-15.988611;-48.04425779;28
-15.98878402;-48.04382128;51
-15.98883148;-48.04437526;77
-15.98925099;-48.04422552;16
-15.98875465;-48.04439027;63
-15.9890617;-48.04361663;99
-15.98880561;-48.04365696;68
-15.98900074;-48.0444708;64
-15.98863208;-48.04395822;11
-15.98907805;-48.04386438;42
-15.98939582;-48.04396663;88
-15.98895478;-48.04377999;56
-15.9893784;-48.04417259;50
-15.98855783;-48.04410208;6
-15.9885696;-48.04412662;74
-15.98923809;-48.04419571;43
-15.98891051;-48.04359335;53
-15.98889762;-48.04414385;83

